Entity1,Relation,Entity2
4169,演员,3315
4329,上映时间,32
2562,语言,89
154,导演,9631
637,演员,10794
2650,演员,21546
2736,上映地区,7
356,演员,9914
1284,上映地区,29
1031,上映时间,88
1819,上映地区,28
4369,导演,16320
103,演员,3450
4380,语言,124
1114,类型,4
100,语言,35
3200,编剧,19792
3550,演员,8164
3371,编剧,6454
4501,类型,19
3803,演员,22707
2425,导演,11566
1006,导演,10177
699,演员,1204
4143,演员,2190
855,演员,20987
1988,类型,13
21,演员,12342
62,类型,13
4408,编剧,13343
230,演员,3122
2569,编剧,16171
1416,演员,18929
1699,演员,21385
1578,演员,858
2841,上映地区,7
3801,类型,7
3891,演员,5203
4086,演员,3471
1470,语言,45
1133,导演,21870
801,演员,10709
250,上映地区,45
1315,语言,89
2233,演员,16836
770,演员,13875
1802,上映地区,28
3043,编剧,5054
4331,编剧,1154
2555,演员,18718
2397,演员,2815
28,演员,17532
3403,演员,3071
345,类型,22
3781,上映地区,45
1971,类型,13
652,导演,17044
1671,类型,4
1562,编剧,12645
2824,上映地区,7
3816,类型,5
638,上映地区,57
3960,语言,153
3449,演员,7882
56,编剧,9375
3407,导演,5830
877,演员,12098
1259,演员,22460
2477,演员,18711
479,演员,6891
173,演员,21907
1158,上映时间,70
1967,演员,4479
700,演员,16089
2149,演员,874
2685,演员,21128
2953,演员,5966
3605,导演,11209
829,演员,2082
3064,演员,6824
965,演员,10809
2067,演员,6383
2193,演员,8273
2620,编剧,20603
1676,类型,10
1046,类型,28
1026,演员,18922
282,演员,8895
455,演员,10746
840,演员,6728
2433,演员,22050
3390,演员,10010
730,演员,2868
2807,上映地区,7
3764,上映地区,45
1810,演员,16520
1834,演员,2462
3841,类型,15
3991,演员,16269
4302,演员,17669
1096,演员,18936
698,类型,27
886,上映地区,29
3161,演员,18182
4272,导演,5829
2829,类型,26
37,类型,13
2762,上映时间,39
4423,编剧,2431
3163,语言,45
4158,演员,7083
235,演员,424
1857,演员,20803
3503,编剧,8534
1626,演员,14920
1856,演员,17945
3094,上映时间,90
3808,演员,11724
2642,类型,7
1023,编剧,22615
241,演员,14093
2008,演员,3034
1176,演员,15213
1648,演员,10805
3206,演员,17102
4540,演员,11412
2328,演员,21245
1606,演员,20288
126,演员,10588
2685,上映时间,93
2107,演员,21092
1471,导演,7233
3023,演员,11971
3146,语言,45
550,演员,125
1198,上映时间,78
95,演员,20745
2670,演员,16446
2303,上映时间,86
2895,上映地区,7
2993,演员,15198
256,导演,17890
4167,演员,108
4334,上映地区,30
4007,上映时间,81
1805,语言,144
49,演员,22508
4415,编剧,12601
2630,演员,7348
668,上映时间,74
2073,上映时间,91
1631,演员,10805
2481,演员,874
3316,演员,9018
23,演员,7791
663,导演,2351
1543,上映地区,7
539,演员,11135
560,演员,17700
2031,上映地区,45
367,演员,276
1461,演员,15108
131,导演,20174
3629,演员,5423
3129,语言,45
1808,类型,6
2030,上映地区,14
1910,语言,144
775,上映地区,59
2308,演员,17867
3108,上映时间,82
3744,演员,7949
2690,类型,5
2322,导演,372
3318,演员,3044
3136,演员,4205
607,演员,12740
218,演员,3965
1175,演员,22662
28,演员,646
1201,演员,18131
433,演员,12548
801,语言,124
1281,上映时间,56
4023,上映地区,47
3983,上映地区,45
1308,语言,45
1742,导演,14231
4403,编剧,13185
1017,类型,2
161,演员,5067
2849,演员,17569
3160,演员,22577
2017,演员,16007
4382,上映时间,78
1759,演员,9323
1762,上映地区,58
1832,导演,21894
2931,语言,92
1227,导演,20747
1791,类型,6
417,上映时间,94
1981,演员,17437
2713,类型,7
2673,类型,5
3451,演员,298
4088,上映地区,45
4152,演员,20148
3609,类型,22
2003,导演,21974
2379,类型,22
3768,演员,4979
44,演员,19614
388,上映地区,33
1642,演员,20251
2116,演员,9693
1261,演员,528
3801,编剧,2883
1280,演员,20568
2095,演员,21416
3766,导演,21483
1824,演员,14777
117,演员,7668
2965,演员,16738
1649,演员,2254
666,类型,17
2071,编剧,11377
3365,语言,45
4260,上映时间,57
1588,类型,18
174,语言,35
4167,演员,592
1396,语言,45
2805,演员,19389
1632,编剧,1943
2747,导演,17075
3049,演员,22449
3413,演员,7857
985,编剧,16133
26,演员,21805
3109,类型,6
3118,导演,13893
2602,演员,8535
3180,演员,13607
3242,导演,14763
4377,演员,2922
1685,演员,12471
3914,类型,5
1893,类型,22
3481,语言,144
1062,演员,6941
3278,演员,9356
3866,类型,13
3669,演员,18196
3196,演员,15774
949,类型,26
4024,演员,17196
262,类型,15
872,语言,124
928,演员,1510
801,上映时间,91
4054,上映地区,45
1631,演员,15611
1975,演员,12792
806,演员,15270
1736,演员,2429
4485,演员,15318
3897,类型,5
1806,演员,8458
3283,导演,17279
2041,导演,14118
3735,导演,14045
68,上映地区,40
3427,导演,10310
1594,演员,18700
1608,演员,19880
3453,语言,45
3525,演员,10239
3849,类型,13
2317,演员,7993
3880,上映地区,40
4159,上映地区,45
4161,演员,20987
3298,语言,89
696,演员,14440
2919,类型,22
3111,导演,13001
3680,类型,22
3734,演员,13262
567,演员,13925
1137,演员,15271
2126,演员,20283
567,演员,1093
2528,上映时间,88
811,演员,13377
142,演员,9081
3006,演员,720
3135,导演,17057
4154,类型,17
322,演员,18970
1383,演员,838
2170,演员,21209
1129,导演,757
3738,演员,10988
4540,演员,15413
1954,演员,22421
2707,语言,89
568,语言,100
520,上映地区,40
1632,语言,45
2028,类型,13
3976,演员,5661
2798,演员,18655
3905,语言,45
231,演员,2161
4558,演员,20116
365,演员,5704
1081,编剧,2304
1441,类型,7
1636,演员,19928
1964,上映地区,28
2305,演员,11802
4028,演员,22038
3436,语言,45
91,演员,2884
3146,演员,4511
869,演员,12507
1659,类型,18
2740,编剧,9421
2821,编剧,21965
2593,上映时间,86
2996,演员,7065
3263,类型,8
3420,演员,18294
1823,演员,14655
4142,上映地区,45
4216,演员,13961
176,演员,3930
1289,上映时间,78
2324,导演,18802
4137,类型,17
3314,演员,17078
3892,演员,5756
2125,语言,108
3129,演员,9796
3837,类型,8
4574,演员,6654
3733,类型,18
1087,演员,5321
2593,演员,5040
2629,导演,10727
294,编剧,15302
2851,演员,14532
782,演员,18499
2651,上映地区,18
3836,编剧,4693
2197,语言,35
1777,演员,5070
2690,编剧,12330
68,编剧,11340
1728,语言,35
2677,演员,19796
1841,演员,8040
3303,类型,19
2399,演员,4709
2569,演员,3597
3735,演员,11354
1862,编剧,2021
32,演员,15750
284,演员,20463
289,演员,20664
964,编剧,14003
830,上映地区,18
2103,演员,11286
3820,类型,8
4003,类型,15
62,演员,17805
3925,上映地区,14
3524,语言,45
4211,演员,9189
902,演员,4656
173,演员,12055
152,演员,1147
2851,演员,22237
137,演员,14266
1930,上映地区,28
1184,演员,18749
4116,类型,5
4559,演员,8260
1771,演员,22548
3412,编剧,21746
2364,类型,18
2898,编剧,6237
73,演员,3567
1656,导演,14486
568,演员,4671
199,演员,2047
1856,演员,10187
2172,语言,45
1895,类型,18
2015,演员,5004
2884,演员,13097
1512,演员,3354
3481,演员,10326
3882,演员,366
4030,上映地区,14
3399,演员,13936
4237,演员,2564
4242,编剧,7940
60,演员,6184
356,演员,9406
2914,编剧,14820
1073,演员,2056
3689,演员,4428
4521,导演,13733
239,演员,2635
4009,演员,21730
1304,类型,18
3066,语言,96
4099,类型,5
2347,类型,18
340,编剧,18955
249,演员,10411
3830,演员,6970
3721,演员,16949
1001,演员,591
1221,演员,20870
874,类型,19
1707,演员,8974
587,类型,22
1409,类型,18
2460,类型,8
3458,语言,150
632,演员,14182
2268,语言,35
3682,类型,18
3718,演员,3783
1388,演员,10392
944,上映地区,45
1936,演员,9820
3726,编剧,2852
3727,演员,1346
3288,演员,2845
1061,类型,17
164,演员,13098
3374,类型,19
3582,演员,17861
475,上映地区,45
3101,演员,5859
2982,导演,16343
57,类型,18
862,上映地区,47
597,导演,2269
3687,类型,13
470,演员,5437
256,演员,21428
1753,编剧,14763
1861,类型,18
638,演员,14059
3083,类型,28
343,语言,45
2857,类型,27
3222,上映时间,90
602,上映地区,70
3497,编剧,17234
631,类型,18
570,类型,22
1392,类型,18
2652,演员,12040
92,上映地区,7
4145,上映地区,45
27,导演,4862
4187,类型,5
689,演员,5330
1053,演员,21141
1591,上映时间,83
2435,类型,18
2716,演员,20262
2178,演员,18811
1219,演员,12854
2957,类型,5
4179,类型,15
1495,演员,5582
1877,演员,17051
2405,上映时间,89
3363,演员,22287
770,类型,5
751,演员,11016
3109,演员,10521
3701,上映地区,11
4579,类型,2
110,上映时间,94
4246,演员,3263
4292,类型,5
3205,上映时间,90
3893,演员,8119
1032,上映地区,45
2732,演员,14323
1244,类型,0
614,类型,18
674,演员,1450
2074,演员,1266
2641,演员,2267
3206,演员,3412
4170,类型,5
240,演员,12393
4100,导演,8957
122,演员,16141
916,演员,9478
4078,演员,11422
4416,演员,22483
2062,上映地区,14
4479,编剧,10391
218,演员,17094
1401,演员,11645
315,演员,186
1832,类型,16
1581,演员,15118
1097,上映时间,93
1220,编剧,9900
1680,上映地区,7
2531,类型,8
4233,上映地区,45
1231,演员,22011
4275,类型,5
2349,类型,5
2481,上映地区,58
2882,演员,21783
1820,演员,21694
221,演员,8918
1241,类型,16
3127,演员,17677
2140,语言,35
2229,演员,22277
137,演员,4146
183,编剧,8087
4112,导演,14923
1143,演员,6122
3301,上映时间,80
2923,类型,5
3642,演员,4577
1934,导演,13037
710,类型,8
2115,类型,25
606,类型,18
2278,演员,14601
4338,上映地区,45
414,语言,45
3545,编剧,3804
2786,演员,1740
1460,演员,11156
1495,上映地区,66
95,演员,21176
1080,上映时间,93
702,类型,18
4025,演员,22287
3007,上映地区,47
3425,演员,3257
3219,类型,2
76,上映时间,94
1343,演员,4385
4217,语言,144
2936,编剧,18113
2363,演员,2815
2464,上映地区,58
1268,演员,14525
1928,类型,6
1781,演员,10180
3589,上映时间,87
3028,类型,5
3482,编剧,5762
3758,演员,9402
4014,演员,5395
1902,演员,21847
3120,演员,18098
516,上映地区,33
2098,编剧,17209
2106,演员,16924
4167,演员,3922
791,演员,9109
4554,类型,2
452,演员,17208
4352,演员,16085
3688,上映时间,61
3615,语言,45
3952,演员,22690
3843,导演,15845
397,语言,45
4321,上映地区,45
1950,上映时间,90
227,演员,13852
407,类型,15
4398,类型,15
2666,演员,17643
329,上映地区,14
656,编剧,8011
3697,上映地区,29
4495,演员,22473
4199,上映地区,45
3933,演员,22601
174,上映地区,58
4416,演员,3369
3517,演员,21161
1731,演员,20259
1121,演员,22264
2907,演员,1110
1103,上映地区,18
2422,演员,12714
2733,类型,2
3892,演员,92
4416,类型,22
68,演员,726
3213,演员,17949
2281,上映时间,91
2051,编剧,11565
29,演员,5066
2763,上映时间,76
2105,演员,1967
3598,语言,45
45,编剧,20340
1396,编剧,6696
4304,上映地区,45
3407,类型,7
3009,演员,4563
817,导演,5659
140,演员,10805
3115,演员,4466
4381,类型,15
2184,演员,9531
1719,演员,19904
4183,语言,144
332,演员,1959
791,编剧,15348
2209,导演,13046
1012,类型,7
1949,编剧,16935
4064,编剧,15676
757,导演,11904
4079,语言,154
4172,语言,45
869,演员,17931
1611,演员,15213
2310,演员,13838
3359,编剧,22424
3433,演员,15977
841,演员,2547
20,导演,20477
2816,类型,7
639,编剧,4978
3703,语言,45
114,演员,3443
1803,导演,14265
564,演员,1281
647,上映时间,89
2387,演员,20382
2893,演员,17242
285,演员,21596
3581,语言,45
1,演员,10219
3746,演员,4859
1,演员,3803
3359,演员,6520
1077,类型,5
2482,类型,22
2144,演员,18867
1539,演员,21884
4475,演员,11174
180,演员,10463
153,演员,10416
2536,编剧,6896
3478,演员,2065
3566,导演,589
3591,演员,1116
4155,语言,45
3878,类型,18
2464,语言,35
2436,演员,10780
3686,语言,45
677,演员,4654
1713,演员,2047
4093,编剧,4847
921,演员,4106
50,演员,8753
3282,演员,6574
2354,演员,259
2140,演员,10941
2278,编剧,17002
132,导演,9099
875,上映地区,40
1419,语言,158
2804,类型,2
878,类型,2
308,演员,21628
4234,演员,6940
1298,演员,5171
1033,编剧,6356
2288,导演,13204
3131,演员,4344
978,类型,7
3861,演员,6775
2445,导演,8320
1437,演员,1973
3765,导演,3349
4029,演员,18403
46,演员,73
4565,类型,8
3129,演员,13476
586,演员,11415
828,语言,158
485,演员,21205
1059,演员,1197
1352,导演,12208
2447,语言,35
3267,演员,3047
3669,语言,45
3672,编剧,2775
2191,演员,899
2005,语言,82
3392,类型,18
40,演员,22453
4413,演员,7582
3706,演员,16073
2985,演员,8552
468,演员,8023
1565,编剧,8316
2048,类型,8
3344,类型,26
4435,类型,18
1496,上映时间,92
1902,导演,22658
164,演员,10817
1189,演员,10612
3966,类型,18
3926,类型,16
4523,上映地区,45
882,演员,12543
1935,上映时间,77
2511,演员,13633
928,演员,9646
482,编剧,7872
1791,演员,15033
1379,类型,4
3098,语言,163
2030,演员,12564
2622,类型,8
3549,编剧,6480
1537,演员,12127
2430,语言,35
3744,类型,13
1581,导演,21540
4430,上映时间,55
4548,类型,8
1694,编剧,7844
1106,上映地区,45
3584,上映地区,14
3524,编剧,9729
637,上映地区,45
813,演员,5026
230,编剧,12988
555,导演,6438
1279,演员,6382
2169,导演,4988
3937,演员,9268
1953,上映地区,7
4167,演员,10956
3209,上映时间,73
3189,编剧,9683
2652,编剧,17153
3492,上映时间,85
3949,类型,18
355,演员,22504
2065,演员,483
3099,演员,1392
1775,演员,17891
1211,上映地区,45
3128,语言,124
1192,导演,10671
3450,编剧,15931
1939,演员,18972
254,上映地区,7
572,编剧,1773
2286,演员,1767
81,演员,11912
2527,上映地区,7
3839,演员,17087
1181,演员,13810
3015,上映地区,45
3224,编剧,3654
2597,类型,18
1693,编剧,19107
215,演员,5097
620,上映地区,45
2088,类型,16
4186,导演,14923
2422,语言,35
3002,演员,9036
3605,导演,3882
3832,类型,13
894,演员,13607
2528,演员,10734
1619,类型,16
1921,导演,1178
2518,语言,35
4454,类型,5
2007,演员,16988
315,类型,8
574,演员,1587
1403,演员,3615
495,演员,1378
28,类型,11
880,编剧,19629
503,演员,5104
575,编剧,5659
2268,上映地区,58
4366,编剧,1862
2035,演员,3100
1827,编剧,19411
3849,演员,138
4228,类型,15
4332,类型,5
4416,演员,14725
99,演员,8916
2921,演员,18898
3115,类型,17
3524,演员,4913
1972,演员,1322
603,上映地区,45
889,类型,8
917,编剧,3304
1524,演员,11495
3234,演员,16993
593,语言,45
1414,上映时间,49
3573,演员,13620
3997,类型,16
4420,编剧,20626
3262,演员,10685
3815,类型,13
3212,导演,8879
3439,演员,10633
4373,演员,17563
2232,演员,11245
2666,演员,22933
1077,上映地区,40
3018,编剧,1278
576,演员,6576
4437,类型,5
0,演员,13839
3430,演员,22869
1091,演员,20982
3244,编剧,7516
2103,演员,9623
29,语言,92
2,语言,45
1114,演员,17826
487,演员,439
1523,导演,16508
2644,演员,9903
708,上映地区,45
1348,导演,13811
741,演员,19560
1790,编剧,12506
4211,类型,15
2179,演员,274
1226,编剧,15586
4315,类型,5
1312,编剧,17417
3463,上映时间,80
1068,类型,27
2481,演员,18272
2859,编剧,17199
3388,演员,22903
768,类型,18
270,演员,3283
2094,类型,18
576,语言,45
2600,编剧,19344
3420,演员,550
4442,演员,12422
2215,演员,11245
3420,上映地区,3
68,演员,16754
4420,类型,5
344,演员,9482
1772,演员,17102
561,编剧,16506
2927,演员,5748
426,上映地区,73
2041,演员,2193
203,上映地区,7
1686,演员,749
4385,导演,12783
691,上映地区,45
1837,演员,22577
4194,类型,15
799,类型,10
2203,演员,13923
240,演员,20045
3818,编剧,17844
3520,上映时间,88
2415,演员,5957
751,类型,18
2374,导演,8483
1973,类型,28
559,语言,45
2761,演员,20801
3197,导演,19120
3515,演员,3512
3682,演员,16978
1395,演员,1686
3282,演员,17930
4517,语言,100
1884,演员,12718
183,演员,15485
2614,导演,3823
2220,演员,20315
2106,演员,3100
3077,类型,5
186,类型,4
368,演员,321
864,类型,8
2159,演员,21247
4178,编剧,14395
160,类型,18
3617,演员,12263
2009,演员,18139
2140,上映地区,58
503,演员,5588
856,类型,18
216,演员,12761
664,语言,45
3299,上映时间,93
3990,编剧,8135
3044,演员,17945
4100,演员,9246
2590,演员,16904
4177,类型,15
3760,语言,45
734,类型,18
1606,演员,15539
3406,编剧,17877
541,演员,257
2095,上映时间,90
629,上映时间,77
3838,演员,10322
265,类型,18
1891,编剧,3425
797,编剧,17640
1694,编剧,2046
665,演员,13178
1824,演员,21787
3611,演员,18778
3212,上映时间,79
4282,类型,15
1983,编剧,20615
2118,演员,4902
4523,导演,20038
3085,导演,21183
2996,上映地区,20
3607,演员,19547
4030,演员,21855
625,演员,16912
2083,演员,6029
2123,上映地区,58
1661,类型,14
647,语言,45
2993,演员,20248
1509,上映地区,5
2987,演员,9962
1733,编剧,21851
3068,编剧,22019
0,演员,21678
2621,上映时间,79
3329,演员,15366
2825,演员,19173
717,类型,18
1787,演员,3938
4449,上映地区,45
724,演员,15722
3831,演员,7916
2682,演员,10308
894,编剧,5054
2132,上映地区,58
2404,编剧,1150
2461,类型,15
3302,演员,12696
248,类型,18
607,演员,7052
2758,演员,20961
2996,编剧,986
4239,类型,18
166,演员,22436
116,演员,3118
1670,演员,19798
3043,类型,5
3930,编剧,14907
3968,演员,7434
2392,演员,1507
3565,演员,16548
1813,类型,5
1994,演员,15548
570,上映地区,4
822,类型,18
4042,上映时间,41
2452,演员,17668
1602,导演,16046
1409,导演,5792
3782,导演,6521
672,演员,634
852,上映时间,92
880,导演,8673
2547,编剧,10903
2890,编剧,22222
3284,语言,92
2115,上映地区,58
2444,类型,15
3055,演员,15734
4222,类型,18
522,演员,18258
3218,类型,19
3953,上映地区,7
549,演员,12624
613,编剧,3390
2974,导演,3508
820,导演,396
2635,演员,12019
788,编剧,22302
4023,类型,18
3831,语言,45
1095,演员,273
3170,上映时间,89
3484,上映地区,7
3892,演员,9033
2436,演员,20526
1088,编剧,13215
4511,上映地区,59
775,上映时间,89
103,编剧,11789
1291,导演,15935
1319,语言,100
27,演员,19756
2029,演员,7425
4352,演员,22932
923,导演,9400
867,演员,13023
652,演员,6705
3253,演员,8455
1625,演员,7426
1658,演员,4517
694,上映地区,45
2588,导演,328
4088,类型,16
2899,导演,14560
237,演员,10008
946,演员,3783
2615,演员,6774
3307,语言,124
3878,演员,8765
4424,上映地区,45
144,编剧,6022
1672,演员,18496
2614,类型,13
2875,上映时间,86
529,演员,9835
2972,演员,12857
180,编剧,3632
2015,上映地区,29
3612,演员,428
3194,上映地区,45
1762,上映时间,88
3403,编剧,20105
351,上映地区,66
1197,语言,49
277,上映地区,58
566,演员,12758
2642,编剧,11771
2444,演员,8973
1724,编剧,18356
907,演员,4162
202,类型,16
1980,演员,1114
1127,演员,10700
665,编剧,5780
3073,语言,144
2955,导演,8327
4419,类型,17
1980,类型,19
833,语言,100
606,演员,16954
2893,演员,13351
2508,导演,20595
1164,演员,1144
4071,类型,16
1998,演员,3020
3880,演员,6584
4039,导演,9670
104,演员,18173
182,演员,15524
1315,演员,20528
2384,演员,2590
1499,编剧,15939
1827,演员,846
2399,演员,9275
3036,演员,7317
3177,上映地区,45
474,导演,20031
2853,编剧,17135
3631,演员,20848
3844,编剧,2038
3898,演员,5272
806,演员,10521
260,上映地区,58
2493,演员,2057
4286,语言,144
308,编剧,14982
832,演员,8798
3180,类型,7
3989,演员,9377
3354,编剧,21341
2604,编剧,4246
2106,演员,7101
3329,演员,14695
4094,类型,18
4054,类型,16
650,语言,45
1390,语言,100
887,上映地区,45
3106,演员,12006
491,编剧,17059
2364,演员,1892
2281,类型,8
3166,演员,3873
520,上映时间,94
2360,演员,5105
663,演员,1461
665,演员,20212
1985,语言,45
4056,语言,154
765,上映地区,45
4564,上映地区,31
4159,类型,16
3039,语言,144
1674,演员,12881
3789,语言,45
4095,上映地区,31
1795,编剧,21389
22,编剧,20442
288,导演,22897
1618,演员,14768
3390,类型,7
2777,上映地区,7
1424,上映时间,67
3168,编剧,6427
1535,上映地区,64
1534,演员,16412
595,演员,12442
557,演员,18904
1339,上映地区,45
4297,演员,18948
1740,演员,15354
2861,导演,16254
1446,上映时间,59
1132,演员,18026
1944,导演,1178
1970,演员,10626
870,上映地区,45
1932,演员,6508
4306,导演,88
4264,类型,16
4363,语言,45
4373,类型,15
1968,语言,45
2528,演员,17447
2987,演员,5103
1280,编剧,17311
2539,导演,8114
2970,演员,7197
35,演员,19075
2422,上映地区,58
3772,语言,45
1514,语言,141
4518,演员,12246
4024,编剧,13559
1899,上映时间,90
1907,导演,7650
4536,演员,14941
1501,演员,14948
1791,演员,9048
2555,演员,19743
853,上映地区,45
3070,演员,14166
2294,演员,20850
756,语言,82
2143,类型,18
1939,演员,6221
3217,演员,10524
260,语言,35
3165,演员,10362
2917,类型,22
3224,编剧,10151
1427,上映地区,45
1713,演员,21271
3508,上映时间,81
387,演员,19019
4461,类型,15
4107,导演,10069
2352,类型,8
3994,演员,14609
21,类型,5
2248,类型,18
309,演员,6584
34,演员,7854
2056,语言,45
1743,编剧,22641
3022,类型,22
1030,演员,16734
49,演员,5679
1883,演员,4704
3318,导演,16209
389,导演,2674
1900,类型,17
4051,导演,16503
4187,导演,17886
4564,演员,9922
4049,上映地区,29
2822,类型,18
3379,上映地区,45
869,演员,17691
1980,编剧,21608
704,语言,45
865,上映时间,85
3201,演员,4522
2553,演员,21304
872,演员,17800
2581,演员,17440
2910,上映地区,45
3596,类型,22
1845,演员,12105
598,演员,16068
2013,类型,7
2119,演员,3813
3504,编剧,13198
1612,演员,13691
4444,类型,15
1815,编剧,18198
3127,类型,22
1670,演员,1302
2039,语言,45
431,演员,20716
1879,演员,14683
4240,演员,12634
818,编剧,9089
2213,演员,9945
4009,类型,21
3630,演员,3706
1958,上映地区,59
3005,类型,22
3069,上映时间,72
896,上映时间,77
192,编剧,11529
2261,上映时间,92
180,语言,124
1744,编剧,11512
3379,编剧,10056
3402,上映地区,47
879,类型,18
4032,上映地区,29
9,类型,0
340,上映地区,7
1263,导演,9813
2294,上映地区,58
2441,编剧,9147
3579,类型,22
2118,演员,13709
4059,演员,22312
1640,编剧,19823
1700,演员,20511
1454,演员,12088
1698,演员,596
3110,类型,22
2214,类型,18
3215,上映地区,28
2701,演员,7889
3575,演员,6767
1450,演员,2469
153,演员,10526
984,类型,18
2988,类型,22
3510,导演,19390
135,演员,5951
3779,类型,5
163,语言,124
4066,编剧,21714
87,演员,21235
515,类型,18
2557,导演,9723
445,演员,1685
627,上映时间,90
2079,导演,11072
4015,上映地区,29
1124,演员,3049
3567,演员,2816
1397,类型,17
2725,演员,20599
50,上映地区,45
2277,上映地区,58
1523,演员,15053
2489,演员,2074
1609,演员,10468
3684,编剧,8875
3093,类型,22
1167,类型,22
2478,演员,9701
3198,上映地区,28
4561,演员,9914
679,语言,45
524,语言,89
967,类型,18
1006,演员,19033
1384,编剧,8679
3391,演员,14613
2029,演员,6083
3789,演员,7544
4134,演员,5331
1420,编剧,2125
1587,导演,4983
2671,类型,13
4229,演员,11824
1732,演员,19015
498,类型,18
3407,语言,100
3667,类型,22
3573,导演,4929
610,演员,16937
158,类型,7
1819,上映时间,88
1753,演员,8231
45,演员,6932
2260,上映地区,58
3620,演员,375
1891,编剧,2567
69,导演,12106
85,演员,165
2523,导演,15553
872,导演,1861
3481,演员,19243
3715,演员,2987
405,编剧,10719
643,编剧,16325
1032,类型,16
2694,语言,89
4586,上映地区,45
1737,演员,16566
4178,演员,10815
1598,上映地区,13
1914,演员,18766
1654,类型,8
441,演员,710
641,上映时间,82
263,类型,7
2592,演员,14619
4498,语言,89
2911,类型,28
2365,上映地区,58
613,导演,11361
481,类型,18
3268,导演,13940
2974,演员,1569
1115,导演,19749
1729,演员,13779
3082,演员,3246
4167,演员,20515
2007,演员,14870
4009,演员,2539
4142,演员,7549
4097,演员,10699
4058,演员,4076
133,类型,17
979,演员,19315
1033,上映时间,79
4385,上映时间,90
3898,演员,19206
2677,语言,89
2960,演员,16987
3407,演员,15625
878,导演,12272
3736,导演,1205
83,演员,11750
387,导演,8691
3117,演员,12857
3835,导演,3048
4170,演员,17794
4204,演员,20405
2534,编剧,14403
4364,演员,21490
1234,演员,8861
1465,编剧,15166
1934,上映地区,28
246,类型,7
2107,演员,4881
3976,上映时间,93
1116,编剧,10012
912,编剧,5513
1455,类型,5
622,导演,17218
2348,上映地区,58
1203,类型,18
3045,演员,16899
1011,语言,45
984,演员,8198
765,编剧,6486
3232,编剧,11109
3968,语言,45
2907,演员,18642
1349,演员,9518
3811,演员,6360
3925,演员,6579
3939,导演,752
3201,演员,20416
1919,演员,15354
3478,语言,100
3447,类型,7
2616,语言,45
1454,演员,20277
1134,编剧,22292
1771,演员,9907
2593,演员,9903
3288,编剧,17651
3824,演员,11801
1465,编剧,10039
3434,演员,6584
2669,语言,89
4,导演,19038
3444,语言,124
3201,语言,144
4026,演员,22271
1105,导演,18287
4557,上映地区,40
2063,演员,21977
2635,导演,3948
3275,演员,10986
667,演员,10088
2051,导演,11457
3209,演员,3228
2948,演员,9842
3660,类型,2
4012,演员,12231
2541,演员,656
4358,演员,17051
4536,语言,144
3747,编剧,9629
3018,编剧,1388
2500,演员,4329
3356,演员,9583
3430,类型,7
1981,演员,287
1291,类型,18
1239,编剧,600
3882,上映时间,90
4153,演员,432
594,编剧,2804
3173,演员,7132
4525,语言,45
658,演员,6459
1598,编剧,13356
